"City","geom","Incoming","Outgoing","Risk"
"Oslo","0101000020E6100000406F3225704858C056976A4400194840",0,0,0.000118780220758054
"Utica","0101000020E61000008F672631C5FC56C08CE7FD4214FD4540",0,0,0.0004914336670096932
"Gully","0101000020E61000005CDF11F4DCE757C0F982A6255CE24740",0,0,0.0003260035491603446
"Morton","0101000020E6100000DC50E5B308BF57C0FEDA92E5D4464640",0,0,0.0006088545863990794
"Clitherall","0101000020E61000004BF3C14062E857C090B4B5321E234740",0,0,0.0003990244308101295
"Henriette","0101000020E6100000EA68D93DA84757C040DB724A86EF4640",1,1,0.0004910816141652632
"Holt","0101000020E61000004906872B720C58C06DB9B1637F254840",0,0,0.00015433152048987915
"Wabasso","0101000020E6100000C4BDB7BD58D057C0B1DCF3B585334640",0,0,0.0005373313156111457
"Grove City","0101000020E6100000E06F6644A4AB57C0EB0D7F0317934640",0,0,0.00042936871736807625
"Menahga","0101000020E6100000FB65F3007AC657C082C44717A25F4740",0,0,0.00014627010809821118
"Freeborn","0101000020E61000006F5D6E7D1E6457C00A327ADC0EE24540",1,1,0.0005747549476069603
"Dalton","0101000020E610000038CA8CDD97FA57C09195307342164740",0,0,0.0002748747552458072
"Heron Lake","0101000020E6100000A8C6C7FF78D457C097289F1226E64540",0,0,0.00042337014440369685
"International Falls","0101000020E6100000735903651C5A57C0BE4E7C353F4B4840",0,0,0.0002561322434833647
"Dassel","0101000020E61000002CE001F7289457C0ECA93F109B8A4640",3,0,0.00046361295878502096
"Clearwater","0101000020E6100000D9807BD5E18257C01CD4254B57B44640",2,7,0.0005532157433841184
"Kilkenny","0101000020E610000091EE77F2BD6457C0AC7743964F284640",4,2,0.0005057132492781442
"Fifty Lakes","0101000020E6100000DBE35EA5BF8557C0CC28C0C27B614740",0,0,0.0004219763421604783
"Red Wing","0101000020E610000052DB2C01A22657C0B2ABD08B724A4640",1,2,0.0002975267836504886
"Ada","0101000020E61000004A9F31F70D2158C012536C1241A64740",0,0,0.00020293686213448912
"Murdock","0101000020E610000072C33D0D36D957C0C541EF67989C4640",1,0,0.0005008081181848204
"Granite Falls","0101000020E61000002B6E7C9A50E357C0C3EAD0B5DD674640",0,0,0.0008328723863381029
"Granite Falls","0101000020E61000004EE1DC6A83E157C06A640A87B2674640",0,0,0.0008328723863381029
"Zumbro Falls","0101000020E6100000C389BC44491B57C08CBA020172244640",0,0,0.0005813242231154643
"Rush City","0101000020E61000008AFD6EDAC93D57C02F6C3DB7FFD74640",3,3,0.0003554987483579664
"Afton","0101000020E6100000A3E0438C513457C047F84D4BBC734640",13,18,0.001895687082666963
"Baudette","0101000020E610000082243E24F0A557C033C5E76E085B4840",0,0,0.00001574147821959154
"Waldorf","0101000020E6100000159FA8C8A46C57C0DC4FFE6A71F74540",4,1,0.00044993159497401893
"Peterson","0101000020E61000001ABC176754F556C07A0C0E4FB7E44540",0,0,0.0008483508671974084
"Ormsby","0101000020E61000007F82DEA29CAC57C0F88FCDBA70EC4540",0,0,0.0013914529421131733
"Ormsby","0101000020E61000006C0397BDBFAC57C049F6F5E501ED4540",0,0,0.0013914529421131733
"Brownsdale","0101000020E6100000F3570D9B973757C046742454C4DE4540",0,0,0.0005038936619789907
"Courtland","0101000020E610000074C195162C9657C081EA3CE78F224640",0,0,0.0003694755759176785
"Darwin","0101000020E6100000C9E3333E789A57C00F5C6EBE638C4640",1,1,0.0004297652942797057
"Mizpah","0101000020E61000005B1EF91FA48D57C08E71E708DEF54740",0,0,0.00011644825897815719
"Spicer","0101000020E6100000A7FABF2E31BC57C051E01365C89D4640",2,0,0.00046207962246900674
"Northrop","0101000020E61000004BBE28FCE99B57C00290380835DE4540",0,0,0.0004895892042161018
